1,1000045787878,19
2,1000087865444,16
3,1000087865444,31
4,1000087879877,35
5,1000534544656,16
6,1000534544656,24
7,8410091180048,9
8,8410283001106,18
9,8410500008871,7
10,8410500008871,39
11,8410500013479,7
12,8410500013479,39
13,8410505272017,17
14,8411396000734,32
15,8412598000478,11
16,8413876251166,15
17,8413876277388,36
18,8414516193476,15
19,8431876231694,2
20,8431876231694,34
21,8431876296013,3
22,8431876296013,22
23,8437003018008,1
24,8437003894275,23
25,8437003894275,26
26,8437004621061,15
27,8437004621535,24
28,8437004621535,37
29,8480000049544,6
30,8480000049544,38
31,8480000053329,21
32,8480000103833,14
33,8480000103833,21
34,8480000180025,5
35,8480000180025,12
36,8480000221636,9
37,8480000260284,4
38,8480000260390,17
39,8480000392169,40
40,8480000505460,23
41,8480000505460,33
42,8480000512239,13
43,8480000512239,33
44,8480000592477,23
45,8480000592477,29
46,8480000823021,10
47,8480000823021,27
48,8480000826091,8
49,8480000827876,30
50,8480000837837,27
51,8480000837837,28
52,8480024764904,30
53,8480024820594,25
54,8480024820594,37
55,8717163889169,13
56,8717163889169,37
57,8480000213075,39
58,8480000213075,7
59,8480000213075,41
60,8480000211934,39
61,8480000211934,7
62,8480000211934,41
63,8480000211934,14
64,8720182382696,42
65,8720182382696,43
66,1000000002345,44
67,1000000002345,45
68,1000000002345,46
69,1000000002346,35
70,1000000002346,46
71,1000000002346,47
72,1000000002347,44
73,1000000002347,46
74,1000000002347,48
75,1000000002348,49
76,8411384002009,50
77,8411384002009,19
78,7613036039499,9
79,8410010260042,51
80,8410010260042,52
81,8410010260042,53
82,8410010260042,54
83,8437014689501,57
84,5410076230068,55
85,3574661648026,56
86,1000534544661,79
87,1000534544671,58
88,8480000038524,59
89,8006540948811,60
90,8480000430243,61
91,3600542379342,62
92,8480000829610,34
93,8480000829610,63
94,1000534544672,64
95,1000534544672,65
96,8480000622129,66
97,8480000622129,67
98,8480000622129,68
99,1000534544670,19
100,24031486,15
101,24002042,40
102,24002042,24
103,8480024819055,15
104,8480024750600,69
105,8480024750600,70
106,8480024292193,71
107,8480024292193,72
108,8480000161246,44
109,8480000161246,73
110,8480000161246,74
111,1000534544660,35
112,1000534544660,15
113,1000534544662,75
114,1000534544662,76
115,1000534544665,77
116,1000534544664,78
117,1000534544664,16
118,1000534544663,64
119,1000534544663,65
120,8480000332493,80
121,8480000332493,81
122,8480000332493,82
123,8429687801212,19
